customer_id,account_id,date,amount,iso_currency_code,name,merchant_name,payment_channel,pending,pfc_primary,pfc_detailed
cu_00000,acc_086afe009d2de20372b5,2026-05-02,30.94,USD,AMZN MKTP US*2K3LP09Q1,Amazon,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00000,acc_086afe009d2de20372b5,2026-05-02,123.06,USD,MAVERIK #338,Maverik,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
cu_00000,acc_086afe009d2de20372b5,2026-05-03,1280.0,USD,GREYSTAR PROP MGMT RENT,,other,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT
cu_00000,acc_086afe009d2de20372b5,2026-05-03,61.03,USD,WINCO FOODS 117,WinCo Foods,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00000,acc_086afe009d2de20372b5,2026-05-03,32.58,USD,EVEN STEVENS SANDW,Even Stevens,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00000,acc_086afe009d2de20372b5,2026-05-03,27.48,USD,DRAFTKINGS DEPOSIT,DraftKings,online,False,ENTERTAINMENT,ENTERTAINMENT_CASINOS_AND_GAMBLING
cu_00000,acc_086afe009d2de20372b5,2026-05-03,34.0,USD,OVERDRAFT ITEM FEE,,other,False,BANK_FEES,BANK_FEES_OVERDRAFT_FEES
cu_00000,acc_086afe009d2de20372b5,2026-05-03,-925.65,USD,CASH DEPOSIT BRANCH 0114,,other,False,TRANSFER_IN,TRANSFER_IN_DEPOSIT
cu_00000,acc_086afe009d2de20372b5,2026-05-08,135.98,USD,ROCKY MTN POWER,Rocky Mountain Power,online,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY
cu_00000,acc_086afe009d2de20372b5,2026-05-08,34.0,USD,OVERDRAFT ITEM FEE,,other,False,BANK_FEES,BANK_FEES_OVERDRAFT_FEES
cu_00000,acc_086afe009d2de20372b5,2026-05-11,34.92,USD,CHEVRON 0207754,Chevron,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
cu_00000,acc_086afe009d2de20372b5,2026-05-12,128.95,USD,COMCAST 8013539 UT,Xfinity,online,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE
cu_00000,acc_086afe009d2de20372b5,2026-05-12,-285.97,USD,CASH DEPOSIT BRANCH 0114,,other,False,TRANSFER_IN,TRANSFER_IN_DEPOSIT
cu_00000,acc_086afe009d2de20372b5,2026-05-14,225.9,USD,DRAFTKINGS DEPOSIT,DraftKings,online,False,ENTERTAINMENT,ENTERTAINMENT_CASINOS_AND_GAMBLING
cu_00000,acc_086afe009d2de20372b5,2026-05-14,34.0,USD,OVERDRAFT ITEM FEE,,other,False,BANK_FEES,BANK_FEES_OVERDRAFT_FEES
cu_00000,acc_086afe009d2de20372b5,2026-05-21,15.22,USD,CHEVRON 0207754,Chevron,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
cu_00000,acc_086afe009d2de20372b5,2026-05-26,15.49,USD,NETFLIX.COM,Netflix,online,False,ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES
