customer_id,transaction_id,account_id,date,amount,name,merchant_name,payment_channel,pending,pfc_primary,pfc_detailed
cu_00001,txn_2b2df38b1fab1343f6f2,acc_c7c57e9122edfe7c0cf3,2025-08-01,-1384.56,DIRECT DEP DELTA AIR LINES PAY,,other,False,INCOME,INCOME_WAGES
cu_00001,txn_96aa40fa9a57190171f3,acc_c7c57e9122edfe7c0cf3,2025-08-01,95.71,WINCO FOODS 117,WinCo Foods,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_0e0a8260bd886c144f20,acc_c7c57e9122edfe7c0cf3,2025-08-01,21.28,DOORDASH*ORDER,DoorDash,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_475af65b1a29ecc804d4,acc_c7c57e9122edfe7c0cf3,2025-08-01,46.73,STARBUCKS 800 S MAIN,Starbucks,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_f6a16bfb8548dacd44af,acc_c7c57e9122edfe7c0cf3,2025-08-01,10.46,DOORDASH*ORDER,DoorDash,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_f1c7d22f7fce0162544f,acc_c7c57e9122edfe7c0cf3,2025-08-02,57.76,SMITHS FOOD #44,Smith's,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_35f53ef8a8c07824b7d7,acc_c7c57e9122edfe7c0cf3,2025-08-02,78.09,WAL-MART #1762,Walmart,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_f6990611734afb581758,acc_c7c57e9122edfe7c0cf3,2025-08-03,1100.0,GREYSTAR PROP MGMT RENT,,other,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT
cu_00001,txn_be37c4a8bae79cc39187,acc_c7c57e9122edfe7c0cf3,2025-08-03,59.01,STARBUCKS 800 S MAIN,Starbucks,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_f2040811bec0fad0e422,acc_c7c57e9122edfe7c0cf3,2025-08-05,21.08,CAFE RIO #23 SLC,Cafe Rio,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_c4005a3f50241aafdff3,acc_c7c57e9122edfe7c0cf3,2025-08-05,26.67,SHELL OIL 57444223,Shell,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
cu_00001,txn_c8000984eebdaa1f6520,acc_c7c57e9122edfe7c0cf3,2025-08-06,45.61,EVEN STEVENS SANDW,Even Stevens,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_7d88e3cd893948dcb42b,acc_c7c57e9122edfe7c0cf3,2025-08-07,57.63,HARMONS - CITY CREEK,Harmons,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_888814feb40cb2b3f6a6,acc_c7c57e9122edfe7c0cf3,2025-08-08,211.46,ROCKY MTN POWER,Rocky Mountain Power,online,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY
cu_00001,txn_6188ffcbc58fc47fe30c,acc_c7c57e9122edfe7c0cf3,2025-08-09,35.96,SMITHS FOOD #44,Smith's,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_34be0e305185dd8ad353,acc_c7c57e9122edfe7c0cf3,2025-08-11,32.27,EVEN STEVENS SANDW,Even Stevens,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_5e9fd6073655b078a76f,acc_c7c57e9122edfe7c0cf3,2025-08-12,128.85,COMCAST 8013539 UT,Xfinity,online,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE
cu_00001,txn_3102a658a8b1c2d80ed3,acc_c7c57e9122edfe7c0cf3,2025-08-12,49.18,CHEVRON 0207754,Chevron,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
cu_00001,txn_fd27f35c094a46ef0e51,acc_c7c57e9122edfe7c0cf3,2025-08-13,56.71,SHELL OIL 57444223,Shell,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
cu_00001,txn_c3bfdf99001ba610187e,acc_c7c57e9122edfe7c0cf3,2025-08-15,-1335.15,DIRECT DEP DELTA AIR LINES PAY,,other,False,INCOME,INCOME_WAGES
cu_00001,txn_327539e1ce94e36bf57d,acc_c7c57e9122edfe7c0cf3,2025-08-15,22.9,MAVERIK #338,Maverik,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
cu_00001,txn_5fabaa68eabd722aa964,acc_c7c57e9122edfe7c0cf3,2025-08-16,20.8,DOORDASH*ORDER,DoorDash,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_aa08036a8058ff2bee27,acc_c7c57e9122edfe7c0cf3,2025-08-17,581.1,CHASE CREDIT CRD EPAY,Chase,online,False,LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT
cu_00001,txn_7201d947c553b2c5bfe0,acc_c7c57e9122edfe7c0cf3,2025-08-17,11.03,STARBUCKS 800 S MAIN,Starbucks,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_105f84d540081c8e28fb,acc_c7c57e9122edfe7c0cf3,2025-08-18,581.1,CHASE CREDIT CRD EPAY,Chase,online,False,LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT
cu_00001,txn_e9e24e8fca614ca98214,acc_c7c57e9122edfe7c0cf3,2025-08-19,50.34,HOMEDEPOT.COM,The Home Depot,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_bdd2bce4e6dd06a08737,acc_c7c57e9122edfe7c0cf3,2025-08-19,30.5,WAL-MART #1762,Walmart,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_e724b30ff9704bc931c1,acc_c7c57e9122edfe7c0cf3,2025-08-23,38.5,CHICK-FIL-A #02281,Chick-fil-A,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_497ea3d30d906d2ec118,acc_c7c57e9122edfe7c0cf3,2025-08-25,34.77,AMZN MKTP US*2K3LP09Q1,Amazon,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_a4dfcb3ab64a9b9ce3a3,acc_c7c57e9122edfe7c0cf3,2025-08-26,15.49,NETFLIX.COM,Netflix,online,False,ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES
cu_00001,txn_24a355ecc6a9394fb7b9,acc_c7c57e9122edfe7c0cf3,2025-08-26,11.99,SPOTIFY USA,Spotify,online,False,ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES
cu_00001,txn_e590c87e2a28fc0c615e,acc_c7c57e9122edfe7c0cf3,2025-08-26,17.99,HULU 877-8244858,Hulu,online,False,ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES
cu_00001,txn_50773b273ea92f08d3c4,acc_c7c57e9122edfe7c0cf3,2025-08-26,31.62,CAFE RIO #23 SLC,Cafe Rio,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_91394501fc5c14759352,acc_c7c57e9122edfe7c0cf3,2025-08-26,10.31,STARBUCKS 800 S MAIN,Starbucks,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_7619040aec7c3ba09df1,acc_c7c57e9122edfe7c0cf3,2025-08-26,20.2,MCDONALD'S F5821,McDonald's,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_bfee74f3d34a67fa73d6,acc_c7c57e9122edfe7c0cf3,2025-08-28,95.11,HARMONS - CITY CREEK,Harmons,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_614970a4fc75e8197ca8,acc_c7c57e9122edfe7c0cf3,2025-09-01,-1499.96,DIRECT DEP DELTA AIR LINES PAY,,other,False,INCOME,INCOME_WAGES
cu_00001,txn_788b221a8a7cf23eeee7,acc_c7c57e9122edfe7c0cf3,2025-09-01,30.42,OLD NAVY US 5341,Old Navy,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_f8c46dfea4d21fd1dc59,acc_c7c57e9122edfe7c0cf3,2025-09-02,11.07,CAFE RIO #23 SLC,Cafe Rio,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_edb3871d0ef5bd76feb6,acc_c7c57e9122edfe7c0cf3,2025-09-02,176.0,TARGET 0002132 SLC,Target,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_e0a4c9451628151d9b6e,acc_c7c57e9122edfe7c0cf3,2025-09-03,1100.0,GREYSTAR PROP MGMT RENT,,other,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT
cu_00001,txn_70008a26009fa05f4e6a,acc_c7c57e9122edfe7c0cf3,2025-09-03,62.5,TRADER JOE S #612,Trader Joe's,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_257b2c8d09f8c9cbb428,acc_c7c57e9122edfe7c0cf3,2025-09-03,44.84,HOMEDEPOT.COM,The Home Depot,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_e814aae6326d6119ff84,acc_c7c57e9122edfe7c0cf3,2025-09-03,27.09,AMZN MKTP US*2K3LP09Q1,Amazon,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_409265dddfc8fc45ec0d,acc_c7c57e9122edfe7c0cf3,2025-09-07,48.66,MCDONALD'S F5821,McDonald's,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_1867edeb3ac5e24c9547,acc_c7c57e9122edfe7c0cf3,2025-09-08,126.06,ROCKY MTN POWER,Rocky Mountain Power,online,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY
cu_00001,txn_957253776ef706a791a5,acc_c7c57e9122edfe7c0cf3,2025-09-08,73.06,COSTCO WHSE #0683,Costco,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_d31e8fe1109a6d4c4c4e,acc_c7c57e9122edfe7c0cf3,2025-09-10,8.44,DOORDASH*ORDER,DoorDash,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_ccb8111c9ac99f3ffcc4,acc_c7c57e9122edfe7c0cf3,2025-09-10,12.44,DOORDASH*ORDER,DoorDash,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_db29200230d2c2784829,acc_c7c57e9122edfe7c0cf3,2025-09-11,52.07,HARMONS - CITY CREEK,Harmons,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_a71b67f37b3d0c20d723,acc_c7c57e9122edfe7c0cf3,2025-09-11,38.67,CAFE RIO #23 SLC,Cafe Rio,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_e1a593dfdad4ae551f1f,acc_c7c57e9122edfe7c0cf3,2025-09-11,9.21,EVEN STEVENS SANDW,Even Stevens,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_ac18805add59e34ccb42,acc_c7c57e9122edfe7c0cf3,2025-09-11,58.21,OLD NAVY US 5341,Old Navy,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
cu_00001,txn_0f7e1d739f38faf26c47,acc_c7c57e9122edfe7c0cf3,2025-09-12,76.55,COMCAST 8013539 UT,Xfinity,online,False,RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE
cu_00001,txn_193a33b6e258a4584cb6,acc_c7c57e9122edfe7c0cf3,2025-09-15,-1542.63,DIRECT DEP DELTA AIR LINES PAY,,other,False,INCOME,INCOME_WAGES
cu_00001,txn_2c980789398ce413e5cb,acc_c7c57e9122edfe7c0cf3,2025-09-16,14.47,DOORDASH*ORDER,DoorDash,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_a7027254b4c238b7aa59,acc_c7c57e9122edfe7c0cf3,2025-09-17,632.48,CHASE CREDIT CRD EPAY,Chase,online,False,LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT
cu_00001,txn_7694361ea5aa8270d422,acc_c7c57e9122edfe7c0cf3,2025-09-18,23.45,EVEN STEVENS SANDW,Even Stevens,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
cu_00001,txn_d8abeb9114b511ec2b81,acc_c7c57e9122edfe7c0cf3,2025-09-19,58.2,COSTCO WHSE #0683,Costco,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
cu_00001,txn_06a8800ba4b9e543ebf0,acc_c7c57e9122edfe7c0cf3,2025-09-19,44.91,CHEVRON 0207754,Chevron,in store,False,TRANSPORTATION,TRANSPORTATION_GAS
